topic,theme,area,learning_objective 
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,"Design uncertainty representations for different types of uncertainty, spatial dimensions, and user tasks"
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,Name and describe types of uncertainty that can occur in geospatial information. Why do they require different visual representations?
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,Place the following uncertainty representation techniques into the UVis
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,3
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,"cube. After placing them in the cube, describe their relative limitations for communicating geospatial data and its uncertainty."
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,"A choropleth map showing homicide rates in the United States with uncertain values marked by a texture (hachure). See MacEachren, A. M., Brewer, C. A. & Pickle, L. W. (1998). Visualizing georeferenced data: representing reliability of health statistics."
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,Environmental and Planning A
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,30
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,"(9), 1547-1561 for related examples."
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,"A side-by-side view of two maps, one showing air pollution data, one the related uncertainty, both using a color scale. Adjacent maps of mean PM10 concentration in Europe (left) and related uncertainty (right)."
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,"An interactive air pollution map allowing the user to hover over the map to retrieve the uncertainty in different locations. Source: Statistical dimension in a GIS using Aguila. Reprinted by permission from Springer Nature: Senaratne, H., Gerharz, L., Pebesma, E. & Schwering, A. (2012). Usability of Spatio-Temporal Uncertainty Visualisation Methods"
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,. In Bridging the Geographic Information Sciences: 15th AGILE International Conference
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,", edited by J. Gensel, D. Josselin, and D. Vandenbroucke, Avignon, France. 24–27 April 2012, Berlin: Springer, 3–23."
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,The “hurricane cone of uncertainty” is a technique to represent predicted (uncertain) paths of a hurricane. A white area on a map depicts the most probable predicted locations (66% confidence interval) of the storm center. What are the pros and cons of this approach? What would be two alternative ways to represent uncertain paths? Source: National Hurricane Center website
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,https://www.nhc.noaa.gov/
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,.
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,Why does the suitability of an uncertainty mapping technique depend on the target user? Name an example.
